pub_date	title	venue	excerpt	citation	url_slug	paper_url	category	highlight
2018-10-22	Controlling dispersion during single-cell polyacrylamide-gel electrophoresis in open microfluidic devices 	Analytical Chemistry	This paper is about the number 1. The number 2 is left for future work.	"Pan Q, Yamauchi KA, and Herr AE. Controlling Dispersion during Single-Cell Polyacrylamide-Gel Electrophoresis in Open Microfluidic Devices. <i>Analytical Chemistry</i>, 2018."	single-cell-dispersion	http://academicpages.github.io/files/paper1.pdf	microfluidics	false
2017-03-23	Profiling protein expression in circulating tumour cells using microfluidic western blotting	Nature Communications	This paper is about the number 2. The number 3 is left for future work.	"Sinkala E. et al. Profiling protein expression in circulating tumor cells using microfluidic western blotting. <i>Nature Communications</i>, 2012"	single-ctc-western-blotting	http://academicpages.github.io/files/paper2.pdf	microfluidics	false
2017-02-13	Subcellular western blotting of single cells	Microsystems and Nanoengineering	This paper is about the number 3. The number 4 is left for future work.	"Yamauchi KA, Herr AE. Subcellular Western Blotting of Single Cells. <i>Microsystems and Nanoengineering</i>, 2017."	subcellular-western-blotting	http://academicpages.github.io/files/paper3.pdf	microfluidics	true
2016-09-06	Detection of isoforms differing by a single charge unit in individual cells	Angewandte Chemie	This paper is about the number 3. The number 4 is left for future work.	"Tentori AM*, Yamauchi KA* and Herr AE. Detection of Isoforms Differing by a Single Charge Unit in Individual Cells. <i>Angewandte Chemie</i>, 2016 *equal contribution"	single-cell-ief	http://academicpages.github.io/files/paper3.pdf	microfluidics	true
2016-07-28	Single cell-resolution western blotting	Nature Protocols	This paper is about the number 3. The number 4 is left for future work.	"Kang CC, Yamauchi KA*, Vlassakis J*, Sinkala E, Duncombe T, Herr AE. Single-cell resolution Western blotting. <i>Nature Protocols</i>, 2016.  *equal contribution"	single-cell-western-blotting	http://academicpages.github.io/files/paper3.pdf	microfluidics	true
2018-01-31	Arrayed isoelectric focusing using photopatterned multi-domain hydrogels	Electrophoresis	This paper is about the number 3. The number 4 is left for future work.	"Yamauchi KA*, Tentori AM*, and Herr AE. Arrayed isoelectric focusing using photopatterned multi?domain hydrogels. <i>Electrophoresis</i>, 2018.  *equal contribution"	photopatterned-ief-arrays	http://academicpages.github.io/files/paper3.pdf	microfab	true
2017-08-21	Fabrication of an open microfluidic device for immunoblotting	Analytical Chemistry	This paper is about the number 3. The number 4 is left for future work.	"Abdel-Sayed P, Yamauchi KA, Gerver RE, Herr AE. Fabrication of an open microfluidic device for immunoblotting. <i>Analytical Chemistry</i>, 2017."	pdms-polyacrylamide-fabrication	http://academicpages.github.io/files/paper3.pdf	microfab	true
2012-12-25	Integrating qPLM and biomechanical test data with an anisotropic fiber distribution model and predictions of TGF-_1 and IGF-1 regulation of articular cartilage fiber modulus	Biomechanics and Modeling in Mechanobiology	This paper is about the number 3. The number 4 is left for future work.	"Stender ME, Raub CB, Yamauchi KA, Shirazi R, Vena P, Sah RL, Hazelwood SJ, and Klisch SM. ntegrating qPLM and biomechanical test data with an anisotropic fiber distribution model and predictions of TGF-1 and IGF-1 regulation of articular cartilage fiber modulus. <i>Biomechanics and Modeling in Mechanobiology,</i>, 2012."	mixed-cartilage-model	http://academicpages.github.io/files/paper3.pdf	biomech	true
